Id.;Título;Autor;Fecha;Periódico / institución;Resumen;Lugar;Demanda;Actor demandante;Actor demandado;Actor Mediador;Otro actor;Acción conflictiva;evento nuevo;Tipo de evento conflictivo;Sector demandante;Sector demandado;Sector mediador;Sector otro actor;Escala del conflicto;Episodio conflictivo;Campo de conflicto;Región;Municipio;Cuenca, Fuente o cuerpo de agua;Lugar para georeferencia;Latitud;Longitud;Texto completo;observaciones
674;Se reaviva la disputa por el agua de La Angostura;Laura Manzaneda;8/9/16;Los tiempos;La pugna por el uso del agua de La Angostura entre regantes y pobladores del entorno continúa. La Asociación de Usuarios del Sistema Nacional de Riego dio un ultimátum para que Tolata y Arbieto abran el embalse hasta el mediodía de hoy y cumplan el acuerdo firmado en 2013, que establece que los dos sectores deben compartir el caudal en la época seca.;Angostura;Apertura de compuertas de represa;Asociacion de regantes;Municipio de Tolata;Gobernacion;;Bajos niveles de agua en la Angostura;Si;Derecho de agua;Regantes;Gob municipal;;;Manifiesto/ confrontación;Angostura regantes;Reproducción social;Valle Alto;Arbieto;Represa La Angostura;Angostura;;;Link;
675;Evo cuestiona proyecto Corani y anuncia visita a Misicuni;Nelson Peredo;8/9/16;Los tiempos;El presidente Evo Morales informó hoy que el lunes visitará las obras del proyecto Misicuni para iniciar el embalse de agua, y afirmó que el plan de traer agua desde Corani es “como una mentira” ya que no existe un estudio.;Corani; no se retrase  el montaje de una red de distribución de agua potable de Misicuni.;Presidente del estado plurinacional;Gobierno municipal de Cochabamba;;;Escasez de agua en el cercado;No;Demanda de agua potable;Gob central ejecutivo;Gob municipal;;;Manifiesto/ confrontación;Misicuni Proyecto;Reproducción social;Metropolitana;Cochabamba;Represa Misicuni;Cochabamba;-17.382489;-66.162185;Link;
676;"Piden respaldar proyecto ""Corani Valles";Los tiempos digital;9/9/16;Los tiempos;Tras las declaraciones del Presidente Evo Morales, en las que cuestionaba el proyecto Corani Valle, presentado por el Comité Cívico del departamento, autoridades departamentales pidieron que se considere el clamor de la población por la falta de este recurso.  El Plan Corani Valle pretende utilizar 6.000 litros de agua por segundo (l/s) del Río Paracti para abastecer al Valle alto y bajo de Cochabamba además del centro de la ciudad.;Corani;Respaldar la ejecución del proyecto Corani Valles;Gobierno Municipal de Cochabamba;Poder ejecutivo;;;Escasez de agua en el cercado;Si;Demanda de agua potable;Gob municipal;Gob central ejecutivo;;;Manifiesto/ confrontación;Corani valles;Reproducción social;Metropolitana;Cochabamba;Laguna Corani;Cochabamba;-17.382489;-66.162185;Link;
677;Alcaldes piden dejar más agua en La Angostura;redacción central;9/9/16;Los tiempos;Los alcaldes de Tolata y Abierto, Wálter Vargas y Renold Almendras, informaron a la Gobernación que no están de acuerdo con el informe del Servicio Nacional de Meteorología e Hidrología (Senamhi), que determina que un nivel de 70 centímetros de agua es suficiente para los peces vivan en la presa, informó la responsable de la Secretaría de la Madre Tierra de la Gobernación, Soledad Delgadillo;Angostura;Cambio de estructura tarifaria y anulación de impuestos;Alcaldes de Tolata y Arbieto;Regantes;;Servicio Nacional de Meteorología e Hidrología (Senamhi), ;Bajos niveles de agua en la Angostura;Si;Derecho de agua;Gob municipal;Regantes;;Otros;Negociación/ pausa;Angostura regantes;Reproducción social;Valle Alto;Arbieto;Represa La Angostura;Angostura;;;Link;
678;Evo cuestiona el proyecto Corani y cívicos se declaran en emergencia;redacción central;9/9/16;Los tiempos;El Comité Cívico de Cochabamba se declaró en estado de emergencia después de que el presidente Evo Morales afirmó que el proyecto “Corani”, que pretende captar agua del río Paracti en Colomi y es impulsado por los cívicos. El presidente del Comité Cívico, Juan Flores manifestó que se convocará a una asamblea de la cochabambinidad cuando pasen los actos del 14 de septiembre y se definirán las medidas a tomar, entre las que podría estar un paro cívico.  El Comité Cívico propuso el proyecto Corani como una alternativa a Misicuni, debido a la creciente demanda de agua.;Cochabamba;Que se ejecute el proyecto de Corani;Comité Civico;Poder ejecutivo;;;Escasez de agua en el cercado;SI;Demanda de agua potable;Comité interinstitucional;Gob central ejecutivo;;;Manifiesto/ confrontación;Corani valles;Reproducción social;Metropolitana;Cochabamba;Laguna Corani;Cochabamba;-17.382489;-66.162185;Link;
679;Probarán válvulas de la represa de Misicuni;Laura Manzaneda;10/9/16;Los tiempos;El presidente de la Empresa Misicuni, Jorge Alvarado informó que este 12 de septiembre se realizará una prueba hidráulica  en la represa de Misicuni, que consiste en cerrar las válvulas de las compuertas. Sin embargo, el cierre definitivo se hará en noviembre, cuando se comience a embalsar agua.;Misicuni;Inicio de almacenamiento de agua;Empresa Misicuni;;;;Escasez de agua en el cercado;No;Demanda de agua potable;Empresa pública;Otros;;;En ciernes;Misicuni Proyecto;Reproducción social;Metropolitana;Cochabamba;Represa Misicuni;Cochabamba;-17.382489;-66.162185;Link;
680;Alcaldías exigen a regantes dejar más agua en represa;redacción central;10/9/16;Los tiempos;La disputa por el uso del agua de La Angostura entre las alcaldías de Tolata y Arbieto con los regantes continúa. Los sectores están en desacuerdo con el nivel de agua que se debe dejar en el embalse para temporada de calor. Los regantes exigen desfogar 67 cm y dejar 70 para la supervivencia de los peces. Pero, las alcaldías exigen que el nivel esté por encima de los 70 cms.;Angostura;"regantes exigen desfogar 67 cm y dejar 70 para la supervivencia de los peces. Pero, las alcaldías exigen que el nivel esté por encima.
El alcalde de Tolata, Wálter Vargas, manifestó que se debe dejar una cantidad superior a los 70 centímetros para garantizar el bienestar de la biodiversidad";Alcaldias de Tolata y Arbieto;Regantes;;;Escasez de agua para riego;No;Derecho de agua;Gob municipal;Regantes;;;Manifiesto/ confrontación;Angostura regantes;Reproducción social;Metropolitana;Arbieto;Represa La Angostura;Angostura;;;Link;
681;Ley para proteger laguna Quenamari sin avances;redacción central;10/9/16;Los Tiempos;El proyecto de ley para declarar “área protegida la laguna Pampa-Albarrancho y la serranía de Quenamari” está paralizado en la Alcaldía, denunció ayer el concejal Edwin Jiménez.  La propuesta fue elaborada por la Universidad Mayor de San Simón (UMSS), la Universidad Católica Boliviana San Pablo (UCB), la Universidad Simón I. Patiño y la Universidad del Valle (Univalle) en 2014. Sin embargo, a la fecha no cuenta con ningún instrumento normativo de protección.;Cochabamba;Falta de respuesta de las diferentes instancias a la propuesta de ley de protección de la laguna Quenamari;Concejal Jimenez;Concejal Jimenez;Gobierno municipal;;Zona ecologica en peligro;No;Contaminación de aguas;Aut. Dptal. y Mpal.;Gob municipal;;;Análisis/ propuesta;Laguna Quenamari;Ecológico / ambiental;Trópico;;Laguna Quenamari;Laguna Quenamari;;;Link;
682;Uno de siete municipios avanza en la construcción de ductos;Enid Lopez Camacho;11/9/16;Los Tiempos;"De los siete municipios del eje metropolitano que se beneficiarán con el proyecto Misicuni, solo Cercado reportó un avance del 70 por ciento en la construcción de ductos, mientras que el resto aún está en la fase de elaboración de estudios y traspaso de recursos de contraparte.El presidente Evo Morales pidió a las autoridades de los municipios , terminar la construcción de sus ductos para transportar el líquido elemento.
";Eje metropolitano;Construcción de ductos;Presidente del estado plurinacional;Municipios;;;retraso de los municipios en la construcción de ductos;No;Implementación de proyecto;Gob central ejecutivo;Gob municipal;;;Manifiesto/ confrontación;Misicuni Proyecto;Reproducción social;Metropolitana;Cochabamba;Represa Misicuni;Cochabamba;-17.382489;-66.162185;Link;
683;Senamhi medirá otra vez el nivel de La Angostura;redaccion central;12/9/16;Los Tiempos;Después de una nueva reunión entre los alcaldes de Arbieto, Tolata, la Gobernación y con la mediación del presidente Evo Morales se decidió hacer otra medición de La Angostura para definir los volúmenes de agua que podrían ser utilizados por los regantes.  Hace dos semanas, el Servicio Nacional de Meteorología e Hidrología (Senamhi) ya realizó una medición y concluyó que la presa tenía, a fines de agosto 3,8 millones de metros cúbicos de agua y una altura de 1,39 metros. Sin embargo, los pobladores del  entorno cuestionan que los regantes desfoguen 69 centímetros.;Angostura;Determinar el nivel de aguas de la angostura para definir los volumenes de agua para los regantes;;;Presidente de Bolivia;;Bajos niveles de agua en la Angostura;Si;Derecho de uso;Gob municipal;Regantes;;;Acuerdo;Angostura regantes;Reproducción social;Valle Alto;Arbieto;Represa La Angostura;Angostura;;;Link;
684;Misicuni se prepara para acumular agua y prevén comenzar con la dotación en abril;Jose Romero;12/9/16;Los Tiempos;"La presa más grande de Bolivia, con 120 metros de altura y una capacidad de 180 millones de metros cúbicos, comenzó hoy con las pruebas para la acumulación de agua. En los primeros días de noviembre se anunció que se cerrarán definitivamente las válvulas y comenzaría el acaparamiento durante los meses de lluvia que siguen.
La acción que marcó este hito fue realizada por el presidente Evo Morales al activar el cierre de las válvulas del túnel de desvío para comenzar la acumulación de agua del río Misicuni.";Misicuni;cierre de válvulas para el almacenamiento de agua;;;;;Verificar el correcto funcionamiento de las válvulas;No;Implementación de proyecto;;;;;Análisis/ propuesta;Misicuni Proyecto;Reproducción social;Metropolitana;Cochabamba;Represa Misicuni;Misicuni;;;Link;
685;Prueban válvulas para acumular agua en Misicuni;Los tiempos digital;12/9/16;Los Tiempos;El presidente Evo Morales realizó esta mañana las pruebas hidráulicas de la represa Misicuni,consistentes en el cierre de válvulas de las compuertas, proceso previo para empezar a embalsar agua en noviembre aprovechando el inicio de la época de lluvia. Las pruebas manuales comenzaron en agosto y ahora se utilizó el sistema automático.;Misicuni;Verificación del funcionamiento de válvulas;Presidente del estado plurinacional;Gobierno municipal;;;Verificar el correcto funcionamiento de las válvulas;No;Implementación de proyecto;Gob central ejecutivo;Gob municipal;;;Análisis/ propuesta;Misicuni Proyecto;Reproducción social;Metropolitana;Cochabamba;Represa Misicuni;Misicuni;;;Link;
686;Dan $us 48 millones más para Misicuni;Violeta Soria;13/9/16;Los Tiempos;El presidente Evo Morales inspeccionó ayer las obras de la represa de Misicuni y garantizó 48 millones de dólares para el proyecto con lo que el costo sube a 178 millones de dólares. En 2009, se adjudicó con 89 millones, luego subió a 91 y se incrementó a 130 con los recursos de la supervisión y la adjudicación a la empresa china Camce.;Misicuni;Conclusion del proyecto Misicuni;Presidente del estado plurinacional;Empresa Misicuni;;;Falta de recursos para la conclusion del proyecto;No;Implementación de proyecto;Gob central ejecutivo;Empresa pública;;;Negociación/ pausa;Misicuni Proyecto;Reproducción social;Metropolitana;Cochabamba;Represa Misicuni;Misicuni;;;Link;
687;"Leyes dice que Misicuni no cuenta con estudio hidrológico: ""Se invirtió sin saber si hay agua""";Los tiempos digital;13/9/16;Los Tiempos;El alcalde del municipio José María Leyes afirmó hoy que la represa de Misicuni no cuenta con un estudio hidrológico. Las declaraciones se dan luego de la inspección a la obra realizada ayer. En la oportunidad, el presidente Evo Morales garantizó 48 millones de dólares para el proyecto con lo que el costo sube a 178 millones de dólares.  ;Misicuni;Falta de estudios hidrológicos;Alcalde de Cochabamba;Empresa Misicuni;;;Riesgo de invertir sin contar con estudios hidrológicos;No;Implementación de proyecto;Gob municipal;Empresa pública;;;Manifiesto/ confrontación;Misicuni Proyecto;Institucional normativo;Metropolitana;Cochabamba;Represa Misicuni;Misicuni;;;Link;
688;La mancha urbana crece descontrolada y afecta vetas acuíferas;Luz Marina Canelas;14/9/16;Los Tiempos; Carmen Ledo, directora del Centro de Planificación y Gestión (Ceplag) de la Universidad Mayor de San Simón (UMSS), indica que el crecimiento de la mancha urbana    baja la calidad de vida de sus pobladores lo cual asociado a  la falta de agua, el reordenamiento vial, la preocupación del alcantarillado, la basura y el excesivo crecimiento del parque automotor requieren pronta solución, pero que lamentablemente no avanzan, ;Cochabamba;Controlar el crecimiento de la mancha urbana;Carmen Ledo directora del Centro de Planificación y Gestión (Ceplag) de la UMSS;Gobienos municipales y departamental;;;Baja calidad de vida a causa del crecimiento de la mancha urbana;expediente;Normativa y reglamentación;Universidad;Aut. Dptal. y Mpal.;;;Análisis/ propuesta;Crecimiento urbano;Ecológico / ambiental;Metropolitana;Cochabamba;Sin fuente específica;Cochabamba;-17.382489;-66.162185;Link;
689;40% busca agua de cisterna ante falencia municipal;Fernando Avendaño;14/9/16;Los Tiempos;Las encuestas muestran que  el 40% de  encuestados en el eje metropolitano  compra agua de los carros cisterna ante la escasez de la provisión de las empresas municipales (Semapa, en el caso de Cercado) o cooperativas de agua o pozo comunal.  La situación del ciudadano cochabambino es alarmante si se compara el dato con las áreas metropolitanas de La Paz y Santa Cruz. En el primer caso, sólo 2 por ciento se vio ante esta emergencia, y en el segundo, el 5 por ciento;Cochabamba;dotación de agua potable ;Población ;SEMAPA;;;Falta de agua para consumo humano y la sequia que se registra en la region Metropolitana;expediente;Demanda de agua potable;Sociedad civil;EPSAS;;;Manifiesto/ confrontación;Sequía 2016;Reproducción social;Metropolitana;Cochabamba;Sin fuente específica;Cochabamba;-17.382489;-66.162185;Link;
690;Misicuni, un proyecto de largo aliento y millones de dólares;redaccion central;14/9/16;Los Tiempos;Hace 60 años que Misicuni surgió como una solución a los duros periodos de sequía. Se comenzó a ejecutar a partir del 90 en tres fases: el túnel de trasvase, la represa y un segundo túnel.  En la primera fase se tuvo una inversion  de 80 millones de dólares para captar las aguas de tres  ríos.   La segunda fase en plena construcción donde la inversión  supera los 130 millones de dólares.;Misicuni;conclusion del proyecto Misicuni;Población ;Empresa Misicuni;;;Falta de agua para consumo humano y la sequia que se registra en la region Metropolitana;No;Implementación de proyecto;Sociedad civil;Empresa pública;;;Negociación/ pausa;Misicuni Proyecto;Reproducción social;Metropolitana;Cochabamba;Represa Misicuni;Cochabamba;-17.382489;-66.162185;Link;
691;La contaminación de aguas se hace imparable;Elizabeth Leyva y Fernando Avendaño;14/9/16;Los Tiempos;"Cochabamba en los últimos 10 años, muestra un avance imparable de la mancha urbana y la contaminación de aguas es algo irreversible.   La directora del Centro de Agua y Saneamiento Ambiental (CASA), Ana María Romero, explica que en la última década ha sido determinante el avance acelerado de la urbanización, más si el proceso no trae consigo un saneamiento básico adecuado. También incidió el crecimiento de las industrias y el incumplimiento de la normativa ambiental, al igual que el uso de agroquímicos en cultivos. A esto se suman los escombros y la basura arrojada en los márgenes de los ríos, torrenteras o canales.

Romero explica que los contaminantes se filtran también a las aguas subterráneas. Además, el cambio de uso de suelos impermeabiliza las zonas de recarga de acuíferos, que van disminuyendo cada vez más.";Laguna Alalay;impulsar las acciones de recuperación del río Rocha y la laguna alalay;Ana María Romero, directora del Centro de Agua y Saneamiento Ambiental (CASA);Gobierno municipal y poblacion;JICA;;crecimiento de la mancha urbana y la contaminacion de aguas;No;Contaminación de aguas;Universidad;Gob municipal;Cooperación internacional;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Cochabamba;-17.382489;-66.162185;Link;
692;La Angostura se seca y sube disputa por agua;Laura Manzaneda;18/9/16;Los Tiempos;"La represa de La Angostura, atraviesa por uno de sus periodos más críticos a causa de la sequía y la falta de acciones para preservar el lugar. Este año, a pesar de la crisis, no se realizará el dragado y recién se elabora un plan de manejo para las actividades que se realizan en el entorno. La poca cantidad de agua ha provocado conflictos entre los pobladores de Tolata y Arbieto con los regantes de la Asociación de Usuarios del Sistema Nacional de Riego. La escasez también ha afectado al turismo y la biodiversidad.

";Angostura;Contar con un plan de manejo de la Angostura y regular las actividades turísticas en la zona para evitar la descarga de aguas servidas;Soledad Delgadillo responsable de la Secretaria de la Madre Tierra;Gobiernos municipales de Arbieto y Tolata y propietarios de restaurantes y lugares turísticos ;; Dylian Castellón responsable de la Unidad de Limnología y Recursos Acuáticos de la UMSS.;Contaminación de la angostura a causa de las actividades turisticas;Si;Contaminación de aguas;Gob departamental;Gob municipal;;Universidad;Análisis/ propuesta;Angostura regantes;Ecológico / ambiental;Valle Alto;Arbieto;Represa La Angostura;Angostura;;;Link;
693;Leyes dice que Corani es “realizable”;redaccion central;19/9/16;Los Tiempos;El alcalde  José María Leyes, aseveró ayer, que no le interesa la opinión de los ministros sobre represa de Corani porque se trata de una propuesta “de lo más interesante y realizable” . En pasados días, el presidente Evo Morales descartó esa posibilidad porque “no hay un estudio” y porque la misma cuenca alimentará cuatro plantas hidroeléctricas y es totalmente inviable técnica y económicamente”.;Corani;Implementar el proyecto Corani;Alcalde de Cochabamba;Poder ejecutivo;;;Falta de agua potable para consumo;Si;Implementación de proyecto;Gob municipal;Gob central ejecutivo;;;Manifiesto/ confrontación;Corani valles;Reproducción social;Trópico;Colomi;Laguna Corani;colomi;;;Link;
694;Llaman a Misicuni a dar un informe;redaccion central;20/9/16;Los Tiempos;Los asambleístas de oposición Mario Orellana y Lizeth Beramendi solicitaron ayer que el presidente de la Empresa Misicuni, Jorge Alvarado, brinde  un informe sobre los 27 millones de dólares que el Gobierno nacional invertirá en obras de la represa de Misicuni, ocho de ellos en ítems adicionales, con el fin de trasparentar el uso de recursos públicos.  El pedido se realizó luego de que el pasado 12 de septiembre, el presidente Evo Morales anunció el desembolso de 48 millones de dólares: 27 para Misicuni y 21 para el ducto que llevará agua a Colcapirhua y la zona sur de la ciudad, durante las pruebas hidráulicas de las compuertas de la represa.;Misicuni;Informe sobre la inversión;Asambleistas opositores;Empresa Misicuni;;;Incremento del presupuesto para la ejecución del proyecto;No;Normativa y reglamentación;Aut. Dptal. y Mpal.;Empresa pública;;;Manifiesto/ confrontación;Misicuni Proyecto;Institucional normativo;Metropolitana;Cochabamba;Represa Misicuni;Misicuni;;;Link;
695;Misicuni dará agua en 2018 y sólo financian 1 de 3 ductos;Laura Manzaneda;21/9/16;Los Tiempos;"Filemón Iriarte,  secretario de Planificación de la Gobernación indico que la región metropolitana de Cochabamba recién podría recibir el agua de la segunda fase del Proyecto Múltiple Misicuni en 2018, debido a que sólo uno de los tres ductos  cuenta con financiamiento  de 21 millones de dólares corresponde al Tramo II que llevará agua desde la planta de Jove Rancho en Tiquipaya a Colcapirhua y la zona sur de la ciudad.
La construcción de las tres redes demanda un presupuesto de al menos 64 millones de dólares. Por el momento están en etapa de pre inversión y elaboración de proyecto.";Misicuni;Asignación de recursos comprometidos para la conclusión de la tercera fase del proyecto;Filemón Iriarte, secretario de Planificación de la Gobernación, ;Poder ejecutivo;;;Falta de  recursos para  conclusion de la tercera fase del proyecto;No;Implementación de proyecto;Gob departamental;Gob central ejecutivo;;;Negociación/ pausa;Misicuni Proyecto;Institucional normativo;Metropolitana;Cochabamba;Represa Misicuni;Misicuni;;;Link;
696;Gobierno asegura que realiza inversiones en Misicuni “más allá” de sus competencias;Cristhian Burgos;21/9/16;Los Tiempos;La ministra de Medio Ambiente y Agua, Alexandra Moreira, aseguró hoy que el Gobierno está efectuando diversas acciones e inversiones, que no son de su competencia, en el Proyecto Múltiple Misicuni de Cochabamba, con el objetivo de acelerar la conclusión de la obra.  No es competencia del gobierno ya que los municipios son los responsables de garantizar el acceso al agua a través de esta infraestructura ;Misicuni;Municipios asuman responsabilidades de la tercera fase;Ministra de Medio Ambiente y Agua;Municipios;;;Falta de recursos para la conclusion del proyecto;No;Implementación de proyecto;Gob central ejecutivo;Gob municipal;;;Negociación/ pausa;Misicuni Proyecto;Institucional normativo;Metropolitana;Cochabamba;Represa Misicuni;Misicuni;;;Link;
697;Aceleran estudios de 3 ductos para traer agua de Misicuni;Laura Manzaneda;22/9/16;Los Tiempos;"Los estudios para la construcción de los tres ductos  para distribuir de forma plena el agua del Proyecto  Misicuni a partir de 2018 se adjudicarán hasta diciembre de 2016, informó ayer la ministra de Medio Ambiente y Agua, Alexandra Moreira. 
El anuncio fue hecho tras una reunión para elaborar la hoja de ruta de las obras que deben ejecutar los municipios.
Los alcaldes de los siete municipios de la región metropolitana informaron que esperan los resultados de los estudios para destinar recursos para los tres ductos. ";Misicuni;Asignación de recursos comprometidos por los municipios y gobernacion para la conclusión de la tercera fase del proyecto;Ministra de Medio Ambiente y Agua;Municipios y gobernación;;;Falta de recursos para la conclusion del proyecto;No;Implementación de proyecto;Gob central ejecutivo;Aut. Dptal. y Mpal.;;;Negociación/ pausa;Misicuni Proyecto;Institucional normativo;Metropolitana;Cochabamba;Represa Misicuni;Misicuni;;;Link;
698;Tras acuerdo retoman la limpieza de La Angostura;redaccion central;23/9/16;Los Tiempos;"La Asociación de Usuarios del Sistema Nacional de Riego La Angostura retomó ayer a mediodía la limpieza del embalse después de que el trabajo fuera suspendido el miércoles por la Alcaldía de Arbieto que se oponía a la extracción de arcilla sin autorización del municipio. Ambas partes llegaron a un acuerdo, informó el gerente del sistema, Manuel Rocha.  
Los usuarios de La Angostura realizan la limpieza del embalse desde el agosto para retirar la cantidad de arcilla que se acumuló en la presa.";Angostura;Cumplimiento de acuerdos para limpieza del embalse;Manuel Rocha gerente de Asociación de Usuarios del Sistema Nacional de Riego La Angostura;Alcaldía de Arbieto;;;Acumulación de arcilla en el embalse;Si;Derecho de uso;Regantes;Gob municipal;;;Acuerdo;Angostura regantes;Reproducción social;Valle Alto;Arbieto;Represa La Angostura;Angostura;;;Link;
699;La Angostura fue cerrada hasta la época de lluvias;redaccion central;27/9/16;Los Tiempos;"La Gobernación y los municipios de Tolata y Arbieto cerraron las compuertas de la  represa de La Angostura el viernes por la noche con el argumento de que se había llegado a los 80 centímetros de altura de  agua en el embalse, como se había acordado. La determinación fue cuestionada por los regantes debido a que consideran que faltaban cinco centímetros para llegar a 80 centímetros.  
El gerente de la Asociación de Usuarios del Sistema Nacional de Riego La Angostura, Manuel Rocha, informó que con el cierre de la represa se han incumplido los acuerdos, debido a que los regantes debían desfogar 65 centímetros.";Angostura;Respeten los niveles de agua de la angostura;Gobernación, municipios de Tolata y Arbieto;Regantes;Soledad Delgadillo responsable de la secretaria de la madre tierra;;incremento del presupuesto para la ejecución del proyecto;No;Derecho de uso;Aut. Dptal. y Mpal.;Regantes;Gob departamental;;Manifiesto/ confrontación;Angostura regantes;Reproducción social;Valle Alto;Arbieto;Represa La Angostura;Angostura;;;Link;
700;Alalay, un paraíso para los flamencos;Violeta Soria;1/10/16;Los Tiempos;"Más de un centenar de flamencos rosados (Phoenicopterus chilensis) han hecho de la laguna Alalay su paraíso, mientras hacen una pausa en su migración de Los Andes hacia los valles y otras regiones donde puedan conseguir alimento.
Las aves de plumaje color salmón y un anaranjado intenso, en algunos casos con ribetes negros en las alas, resaltan la biodiversidad de la laguna, que desde marzo ingresó en un proceso de recuperación tras el desastre ambiental que provocó la mortandad de miles de peces.
El responsable de Fauna Silvestre de la Alcaldía de Cochabamba, Dennis Soux, informó que las aves zancudas de cuello alto y patas largas llegaron primero en pequeños grupos desde abril y esta semana aumentaron notoriamente su presencia.";Laguna Alalay;Resguardo de los predios de la laguna Alalay de manera que se proteja el ecosistema donde viven los flamencoa;Erick Martínez biólogo y coordinador Crempla;Municipio;;;Crisis ambiental en la laguna Alalay;No;Contaminación de aguas;Comité interinstitucional;Gob municipal;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;;;Link;
701;Caudal de Alalay está en su nivel más bajo en seis años;Laura Manzaneda;2/10/16;Los Tiempos;"A seis meses del desastre ambiental registrado en la laguna Alalay con la muerte de miles de peces —11 toneladas— por la disminución de niveles de oxígeno y la aparición de algas tóxicas, el Comité de Recuperación, Mejoramiento y Preservación de la Laguna Alalay (Crempla) ejecutó la mitad del plan de emergencia para estabilizar el ecosistema.

Desde la instalación de biofiltros o algas que ayudan a purificar el agua y de oxigenadores se ha evitado la muerte de más peces, sobre todo de la especie nativa del platincho a causa de anoxia o falta de oxígeno. Ahora, la prioridad es reducir la pérdida del caudal y evitar que la laguna se siga secando.

La dramática disminución del agua por la dura sequía que soporta el valle de Cochabamba, la falta de fuentes de agua, el deterioro de la cuenca del río Rocha que tiene un aporte importante en el embalse y el ingreso de aguas negras han provocado que la laguna tenga menos de un millón de metros cúbicos, cuando lo habitual es que esta temporada supere los dos millones de una capacidad máxima de cuatro en la época de lluvias.   ";Laguna Alalay;Poner en marcha un plan de salvataje de la laguna a largo plazo;Erick Martínez biólogo y coordinador Crempla;Municipio;;;disminución niveles de  agua  y falta de oxigenacion de las mismas por la dura sequía que soporta el valle de Cochabamba;No;Contaminación de aguas;Comité interinstitucional;Gob municipal;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;;;Link;
702;El plazo vence en diciembre y tiene una ejecución del 50 por ciento.;Laura Manzaneda;2/10/16;Los Tiempos;"El representante del Consejo Departamental de Medio Ambiente (Codema), Jhon Zambrana, indicó que las tareas que se realizan actualmente por el municipio con el Plan de Emergencia de la Laguna Alalay corresponden a un plan a largo plazo y no a un plan inmediato.
El plan contemplaba 17 tareas que se han reducido a 10, . La adquisición de insumos, en su mayoría, ha concluido con la compra de equipos de oxigenación y la consultoría, el plan de manejo de totoras está en elaboración, tiene un avance del 30 por ciento.";Laguna Alalay;limpieza de totoras se debe hacer de manera adecuada para no perjudicar a las aves que habitan y anidan en las totoras secas.;Jhon Zambrana representante de Codema ;Municipio;;;Sedimentación de totoras secas que contaminan las aguas de la laguna;No;Contaminación de aguas;Gob departamental;Gob municipal;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;;;Link;
703;Eaboran plan a mediano y largo plazo;Laura Manzaneda;2/10/16;Los Tiempos;El responsable de Recursos Naturales de la Alcaldía, Gabriel López, indicó que el municipio también trabaja en un proyecto de recuperación integral de la laguna Alalay para ejecutar a largo y mediano plazo que está en corrección y será licitado este año con un presupuesto de 1,5 millones de bolivianos.;Laguna Alalay;Licitar una consultoría  para dar soluciones integrales a la problemática de la laguna  y que èsta sea aprobada por el CREMPLA;Gabriel López responsable de Recursos Naturales de la Alcaldía;CREMPLA;;;acumulación de arcilla en el embalse;No;Contaminación de aguas;Gob municipal;Comité interinstitucional;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;;;Link;
704;Hallan coliformes fecales en 5 tomas de agua de las cisternas;redaccion central;5/10/16;Los Tiempos;"Casi la mitad de las muestras de agua que tomó la Unidad de Sanidad Ambiental del Sedes en 11 pozos y vertientes de la zona norte que abastecen a las cisternas que distribuyen agua en la ciudad tenía presencia de coliformes fecales, bacterias que pueden afectar la salud de la población, informó ayer la directora Patricia Choque.
Asimismo,  los resultados fueron enviados a  (Sedes),  (Semapa) y (AAPS), porque son las instancias encargadas de controlar los pozos y vertientes.";Cercado;Que  los propietarios de las 11 tomas de agua intervenidas  realicen la cloración del agua, la limpieza y desinfección profunda de las mismas; Patricia Choque directora de la Unidad de Sanidad Ambiental del Sedes ;Propietarios de las tomas y vertientes de agua;;;contaminación de aguas potables con bacterias ;expediente;Contaminación de aguas;Gob departamental;Otros;;;En ciernes;Crecimiento urbano;Ecológico / ambiental;Metropolitana;Cochabamba;Sin fuente específica;Cochabamba;-17.382489;-66.162185;Link;
705;El flamenco rosado regresa a Alalay;Violeta Soria;9/10/16;Los Tiempos;Los flamencos llegan a la laguna luego de una larga migración y se quedan para reponer energías. Viven en lagos y lagunas saladas del Altiplano y valles de Bolivia. Están distribuidos en Sudamérica desde el estrecho de Magallanes de Chile hasta el sur de Brasil y noreste de Perú. En Bolivia están en La Paz, Cochabamba, Santa Cruz, Tarija, Oruro y Potosí, desde los 2.500 hasta los 4.700 m.s.n.m. ;Laguna Alalay;No pertubar a las aves en el momento observarlas ;Rodrigo Soria biólogo y director de la Asociación Civil Armonía;Población ;;;alteración del habitad temporal de los flamencos;No;Contaminación de aguas;Organizaciones no gubernamentales;Sociedad civil;;;Análisis/ propuesta;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;Laguna Alalay;Laguna Alalay;;;Link;
